# Hs,H10,Hmax,Tmed,THmax,Hm0,Tp,Dp
2.05,2.54,2.96,14.26,16.00,2.15,12.50,198.32
2.24,2.79,4.05,15.05,17.00,2.41,13.33,207.24
2.41,2.99,3.27,14.14,17.00,2.55,12.50,204.96
2.25,2.73,3.00,14.22,16.00,2.32,12.50,203.11
1.88,2.29,3.64,13.65,13.00,2.06,11.76,209.80
2.18,2.64,3.20,13.69,16.00,2.25,13.33,201.65
2.08,2.61,3.10,15.00,15.00,2.22,12.50,207.84
2.21,2.89,3.53,12.34,16.00,2.38,13.33,204.91
1.97,2.47,3.18,12.14,15.00,2.18,14.29,203.37
2.11,2.53,3.52,12.50,15.00,2.22,13.33,206.26
2.09,2.61,3.19,12.11,18.00,2.22,13.33,198.04
1.87,2.32,3.00,10.22,19.00,2.08,14.29,208.28
2.05,2.48,2.81,10.75,16.00,2.23,11.76,208.29
2.18,2.76,3.31,11.12,16.00,2.36,12.50,204.19
1.91,2.32,2.74,10.34,16.00,2.08,13.33,203.70
1.88,2.32,3.20,9.83,13.00,2.07,14.29,212.74
1.93,2.45,3.32,9.90,16.00,2.07,11.76,198.71
2.00,2.59,3.82,10.18,16.00,2.04,13.33,204.08
1.92,2.50,3.00,11.30,16.00,2.07,14.29,206.69
1.67,2.09,2.72,10.19,17.00,1.69,11.76,197.07
2.01,2.55,3.61,12.58,18.00,2.11,13.33,206.22
1.91,2.45,3.58,11.26,17.00,2.07,12.50,202.38
2.14,2.66,3.23,12.76,19.00,2.38,13.33,199.70
2.16,2.65,3.52,12.15,16.00,2.37,14.29,200.92
2.42,3.11,4.04,13.63,19.00,2.59,12.50,206.16
2.84,3.63,4.45,14.35,18.00,2.79,14.29,200.45
2.60,3.05,3.45,15.52,15.00,2.73,14.29,207.96
2.98,3.47,4.37,14.88,19.00,3.28,14.29,202.00
2.74,3.46,4.46,15.33,16.00,2.84,12.50,200.07
2.74,3.47,4.48,13.69,19.00,2.99,13.33,201.94
2.15,2.81,3.45,11.69,16.00,2.33,11.76,206.57
2.72,3.45,4.11,13.99,16.00,2.75,14.29,209.31
2.48,3.02,3.67,12.98,17.00,2.56,12.50,210.71
2.12,2.76,3.30,11.12,19.00,2.38,14.29,205.67
2.21,2.79,3.80,10.49,15.00,2.52,13.33,205.90
1.91,2.47,4.14,9.60,15.00,2.07,13.33,212.14
1.99,2.48,3.03,10.37,17.00,2.18,13.33,210.71
2.38,3.03,3.62,10.89,17.00,2.66,11.11,207.67
1.89,2.43,2.88,9.69,16.00,2.11,12.50,209.24
1.88,2.43,3.21,9.28,13.00,2.08,12.50,196.77
1.81,2.17,2.60,10.45,13.00,1.92,13.33,202.82
1.82,2.32,2.67,9.47,15.00,2.04,12.50,201.43
1.87,2.33,2.97,9.45,17.00,1.98,12.50,194.75
1.65,2.05,2.65,9.02,15.00,1.77,11.76,200.77
1.54,1.91,2.43,8.71,16.00,1.71,12.50,197.48
1.52,1.80,2.17,8.93,11.00,1.66,11.76,202.46
1.51,1.85,2.39,8.30,14.00,1.68,12.50,202.52
1.52,1.87,2.45,8.54,16.00,1.70,11.76,199.67
1.57,1.91,2.33,8.64,14.00,1.76,11.76,205.00
1.43,1.79,2.22,7.79,14.00,1.57,11.76,206.45
1.53,1.84,2.20,8.47,15.00,1.66,11.76,202.09
1.34,1.68,2.40,7.54,12.00,1.50,11.76,190.08
1.32,1.64,2.14,6.94,13.00,1.46,11.76,204.79
1.32,1.54,2.10,7.60,11.00,1.45,11.11,187.09
1.24,1.53,1.99,6.95,13.00,1.42,12.50,191.48
1.18,1.49,2.11,7.05,14.00,1.38,11.11,195.58
1.26,1.54,1.88,7.09,6.00,1.39,11.11,196.53
1.20,1.47,1.78,6.66,10.00,1.39,4.76,75.90
1.30,1.63,2.51,6.96,9.00,1.41,11.76,177.91
1.25,1.52,2.00,6.78,7.00,1.39,10.53,186.51
1.29,1.57,2.53,6.65,11.00,1.42,4.88,71.64
1.31,1.68,2.55,6.67,8.00,1.45,4.88,66.16
1.33,1.64,2.07,6.51,8.00,1.47,5.13,78.98
1.30,1.56,2.02,6.94,10.00,1.44,5.41,76.15
1.35,1.61,2.06,6.69,8.00,1.48,5.26,74.60
1.35,1.68,2.37,6.61,8.00,1.51,5.71,74.17
1.40,1.73,2.13,6.86,8.00,1.56,5.71,75.51
1.48,1.83,2.23,6.96,8.00,1.67,6.45,74.28
1.40,1.82,2.65,6.69,8.00,1.46,5.88,73.63
